spend_id,spend_date,channel_id,campaign_name,impressions,clicks,spend_usd
1001,2024-01-01,2,Search_Brand_Core,15129,638,840.24
1002,2024-01-01,3,Meta_Advantage_Catalog_Ads,78272,1932,1093.26
1003,2024-01-01,4,Affiliate_Creator_Network,26978,534,354.51
1004,2024-01-02,2,Search_Generic_HighIntent,11393,496,620.93
1005,2024-01-02,3,TikTok_Creator_Lifestyle,48355,859,923.81
1006,2024-01-02,4,Editorial_Lifestyle_Reviews,18472,349,199.45
1007,2024-01-03,2,Search_Competitor_Conquest,12450,500,749.61
1008,2024-01-03,3,Instagram_Story_Retargeting,27869,658,776.55
1009,2024-01-03,4,Partner_Syndication_Cashback,29714,729,312.09
1010,2024-01-04,2,Search_Brand_Core,13735,531,555.55
1011,2024-01-04,3,Meta_Advantage_Catalog_Ads,58759,954,1122.66
1012,2024-01-04,4,Affiliate_Creator_Network,23677,489,263.24
1013,2024-01-05,2,Search_Generic_HighIntent,12831,379,512.65
1014,2024-01-05,3,TikTok_Creator_Lifestyle,50997,1164,938.4
1015,2024-01-05,4,Editorial_Lifestyle_Reviews,21044,624,296.42
1016,2024-01-06,2,Search_Competitor_Conquest,17129,527,668.6
1017,2024-01-06,3,Instagram_Story_Retargeting,97474,1423,850.8
1018,2024-01-06,4,Partner_Syndication_Cashback,7690,210,139.38
1019,2024-01-07,2,Search_Brand_Core,14541,497,815.68
1020,2024-01-07,3,Meta_Advantage_Catalog_Ads,126549,1707,1020.74
1021,2024-01-07,4,Affiliate_Creator_Network,23926,620,333.71
1022,2024-01-08,2,Search_Generic_HighIntent,15497,559,839.54
1023,2024-01-08,3,TikTok_Creator_Lifestyle,114913,1425,1015.62
1024,2024-01-08,4,Editorial_Lifestyle_Reviews,27024,641,279.34
1025,2024-01-09,2,Search_Competitor_Conquest,25911,678,760.56
1026,2024-01-09,3,Instagram_Story_Retargeting,51007,1051,741.33
1027,2024-01-09,4,Partner_Syndication_Cashback,14762,403,267.66
1028,2024-01-10,2,Search_Brand_Core,12844,364,608.28
1029,2024-01-10,3,Meta_Advantage_Catalog_Ads,50583,1082,609.2
1030,2024-01-10,4,Affiliate_Creator_Network,23946,599,248.29
1031,2024-01-11,2,Search_Generic_HighIntent,11320,384,600.04
1032,2024-01-11,3,TikTok_Creator_Lifestyle,63535,1283,912.07
1033,2024-01-11,4,Editorial_Lifestyle_Reviews,34653,681,262.08
1034,2024-01-12,2,Search_Competitor_Conquest,11617,453,798.73
1035,2024-01-12,3,Instagram_Story_Retargeting,28160,623,734.44
1036,2024-01-12,4,Partner_Syndication_Cashback,26041,568,300.82
1037,2024-01-13,2,Search_Brand_Core,7563,258,452.83
1038,2024-01-13,3,Meta_Advantage_Catalog_Ads,45315,885,632.0
1039,2024-01-13,4,Affiliate_Creator_Network,8631,247,171.13
1040,2024-01-14,2,Search_Generic_HighIntent,16753,629,824.03
1041,2024-01-14,3,TikTok_Creator_Lifestyle,82609,1082,1033.21
1042,2024-01-14,4,Editorial_Lifestyle_Reviews,30141,751,275.2
1043,2024-01-15,2,Search_Competitor_Conquest,23903,647,671.07
1044,2024-01-15,3,Instagram_Story_Retargeting,69590,1672,1035.8
1045,2024-01-15,4,Partner_Syndication_Cashback,24474,643,314.36
1046,2024-01-16,2,Search_Brand_Core,7620,264,478.67
1047,2024-01-16,3,Meta_Advantage_Catalog_Ads,97945,1795,1001.34
1048,2024-01-16,4,Affiliate_Creator_Network,13536,352,254.92
1049,2024-01-17,2,Search_Generic_HighIntent,17356,549,633.3
1050,2024-01-17,3,TikTok_Creator_Lifestyle,87452,1074,867.14
1051,2024-01-17,4,Editorial_Lifestyle_Reviews,22892,457,324.03
1052,2024-01-18,2,Search_Competitor_Conquest,19717,758,760.39
1053,2024-01-18,3,Instagram_Story_Retargeting,41490,890,856.11
1054,2024-01-18,4,Partner_Syndication_Cashback,29652,914,359.17
1055,2024-01-19,2,Search_Brand_Core,16289,588,550.48
1056,2024-01-19,3,Meta_Advantage_Catalog_Ads,32523,732,790.93
1057,2024-01-19,4,Affiliate_Creator_Network,13591,300,219.57
1058,2024-01-20,2,Search_Generic_HighIntent,11688,511,583.62
1059,2024-01-20,3,TikTok_Creator_Lifestyle,65699,1160,616.61
1060,2024-01-20,4,Editorial_Lifestyle_Reviews,16046,457,322.81
1061,2024-01-21,2,Search_Competitor_Conquest,14444,511,894.41
1062,2024-01-21,3,Instagram_Story_Retargeting,40968,844,877.87
1063,2024-01-21,4,Partner_Syndication_Cashback,24108,686,266.13
1064,2024-01-22,2,Search_Brand_Core,12106,361,646.68
1065,2024-01-22,3,Meta_Advantage_Catalog_Ads,50455,706,763.85
1066,2024-01-22,4,Affiliate_Creator_Network,12333,373,220.2
1067,2024-01-23,2,Search_Generic_HighIntent,11147,452,539.92
1068,2024-01-23,3,TikTok_Creator_Lifestyle,93435,1296,1102.12
1069,2024-01-23,4,Editorial_Lifestyle_Reviews,17939,356,157.48
1070,2024-01-24,2,Search_Competitor_Conquest,19786,695,705.59
1071,2024-01-24,3,Instagram_Story_Retargeting,72480,1058,959.53
1072,2024-01-24,4,Partner_Syndication_Cashback,17780,504,320.53
1073,2024-01-25,2,Search_Brand_Core,13432,585,595.64
1074,2024-01-25,3,Meta_Advantage_Catalog_Ads,71165,1306,927.97
1075,2024-01-25,4,Affiliate_Creator_Network,20808,458,335.27
1076,2024-01-26,2,Search_Generic_HighIntent,23737,857,791.29
1077,2024-01-26,3,TikTok_Creator_Lifestyle,117112,1619,929.32
1078,2024-01-26,4,Editorial_Lifestyle_Reviews,12450,328,241.35
1079,2024-01-27,2,Search_Competitor_Conquest,12519,430,715.05
1080,2024-01-27,3,Instagram_Story_Retargeting,131904,1770,906.86
1081,2024-01-27,4,Partner_Syndication_Cashback,20652,439,293.59
1082,2024-01-28,2,Search_Brand_Core,12065,511,754.79
1083,2024-01-28,3,Meta_Advantage_Catalog_Ads,79042,1333,1051.39
1084,2024-01-28,4,Affiliate_Creator_Network,15193,458,279.43
1085,2024-01-29,2,Search_Generic_HighIntent,21457,638,724.69
1086,2024-01-29,3,TikTok_Creator_Lifestyle,79365,1061,1136.83
1087,2024-01-29,4,Editorial_Lifestyle_Reviews,16462,330,194.13
1088,2024-01-30,2,Search_Competitor_Conquest,22778,635,758.27
1089,2024-01-30,3,Instagram_Story_Retargeting,111646,1753,1079.48
