order_item_id,order_id,product_id,quantity,unit_price,line_total
1,ORD_00001,PROD_039,1,64.5,64.5
2,ORD_00001,PROD_017,1,53.0,53.0
3,ORD_00001,PROD_025,2,53.0,106.0
4,ORD_00001,PROD_043,1,179.5,179.5
5,ORD_00002,PROD_012,1,153.0,153.0
6,ORD_00002,PROD_001,2,54.0,108.0
7,ORD_00002,PROD_024,2,38.0,76.0
8,ORD_00002,PROD_015,1,41.0,41.0
9,ORD_00003,PROD_049,1,97.0,97.0
10,ORD_00003,PROD_028,1,73.5,73.5
11,ORD_00004,PROD_038,1,170.0,170.0
12,ORD_00004,PROD_021,5,87.0,435.0
13,ORD_00005,PROD_033,1,48.0,48.0
14,ORD_00006,PROD_029,6,62.5,375.0
15,ORD_00006,PROD_003,1,131.5,131.5
16,ORD_00006,PROD_009,5,66.0,330.0
17,ORD_00007,PROD_005,2,116.0,232.0
18,ORD_00007,PROD_038,1,170.0,170.0
19,ORD_00008,PROD_005,1,116.0,116.0
20,ORD_00008,PROD_008,1,68.5,68.5
21,ORD_00008,PROD_023,2,73.99,147.98
22,ORD_00009,PROD_010,1,191.0,191.0
23,ORD_00010,PROD_043,7,179.5,1256.5
24,ORD_00010,PROD_015,1,41.0,41.0
25,ORD_00010,PROD_006,1,102.0,102.0
26,ORD_00010,PROD_039,1,64.5,64.5
27,ORD_00011,PROD_032,1,44.99,44.99
28,ORD_00011,PROD_037,1,98.99,98.99
29,ORD_00012,PROD_042,1,65.0,65.0
30,ORD_00012,PROD_023,1,73.99,73.99
31,ORD_00013,PROD_023,1,73.99,73.99
32,ORD_00013,PROD_050,1,90.99,90.99
33,ORD_00014,PROD_018,2,52.0,104.0
34,ORD_00015,PROD_015,1,41.0,41.0
35,ORD_00015,PROD_020,1,24.5,24.5
36,ORD_00016,PROD_023,1,73.99,73.99
37,ORD_00017,PROD_013,1,154.5,154.5
38,ORD_00018,PROD_006,7,102.0,714.0
39,ORD_00018,PROD_047,1,114.0,114.0
40,ORD_00018,PROD_037,1,98.99,98.99
41,ORD_00018,PROD_050,3,90.99,272.97
42,ORD_00019,PROD_038,1,170.0,170.0
43,ORD_00020,PROD_050,2,90.99,181.98
44,ORD_00021,PROD_020,1,24.5,24.5
45,ORD_00021,PROD_040,1,104.99,104.99
46,ORD_00021,PROD_044,2,176.99,353.98
47,ORD_00021,PROD_045,1,58.99,58.99
48,ORD_00021,PROD_018,1,52.0,52.0
49,ORD_00021,PROD_039,1,64.5,64.5
50,ORD_00022,PROD_003,2,131.5,263.0
51,ORD_00022,PROD_030,1,35.99,35.99
52,ORD_00022,PROD_050,1,90.99,90.99
53,ORD_00023,PROD_021,2,87.0,174.0
54,ORD_00023,PROD_017,2,53.0,106.0
55,ORD_00024,PROD_025,1,53.0,53.0
56,ORD_00024,PROD_033,1,48.0,48.0
57,ORD_00025,PROD_033,10,48.0,480.0
58,ORD_00025,PROD_031,1,100.5,100.5
59,ORD_00026,PROD_043,2,179.5,359.0
60,ORD_00027,PROD_029,1,62.5,62.5
61,ORD_00027,PROD_048,1,208.99,208.99
62,ORD_00028,PROD_044,2,176.99,353.98
63,ORD_00028,PROD_020,1,24.5,24.5
64,ORD_00028,PROD_047,2,114.0,228.0
65,ORD_00029,PROD_030,2,35.99,71.98
66,ORD_00029,PROD_015,1,41.0,41.0
67,ORD_00029,PROD_007,1,101.99,101.99
68,ORD_00030,PROD_001,1,54.0,54.0
69,ORD_00030,PROD_044,1,176.99,176.99
70,ORD_00030,PROD_028,2,73.5,147.0
71,ORD_00030,PROD_003,2,131.5,263.0
72,ORD_00030,PROD_048,1,208.99,208.99
73,ORD_00031,PROD_019,3,66.5,199.5
74,ORD_00031,PROD_009,1,66.0,66.0
75,ORD_00031,PROD_024,1,38.0,38.0
76,ORD_00032,PROD_041,2,212.5,425.0
77,ORD_00033,PROD_039,1,64.5,64.5
78,ORD_00033,PROD_003,2,131.5,263.0
79,ORD_00034,PROD_004,1,103.0,103.0
80,ORD_00034,PROD_043,1,179.5,179.5
81,ORD_00035,PROD_041,1,212.5,212.5
82,ORD_00035,PROD_005,2,116.0,232.0
83,ORD_00035,PROD_022,1,38.99,38.99
84,ORD_00035,PROD_003,2,131.5,263.0
85,ORD_00036,PROD_042,1,65.0,65.0
86,ORD_00037,PROD_011,1,79.0,79.0
87,ORD_00038,PROD_003,2,131.5,263.0
88,ORD_00038,PROD_016,1,114.99,114.99
89,ORD_00038,PROD_014,1,183.0,183.0
