order_id,customer_id,order_date,order_status,payment_method,shipping_cost,discount_amount,total_order_amount
ORD_00001,CUST_00001,2024-01-11 14:41:53,Delivered,Credit Card,0.0,0.0,403.0
ORD_00002,CUST_00002,2024-01-20 18:37:28,Delivered,PayPal,4.99,0.0,382.99
ORD_00003,CUST_00002,2024-01-24 22:36:54,Delivered,Apple Pay,0.0,0.0,170.5
ORD_00004,CUST_00001,2024-01-29 16:26:43,Delivered,Klarna / BNPL,0.0,60.5,544.5
ORD_00005,CUST_00003,2024-01-30 09:51:01,Delivered,Credit Card,5.99,0.0,53.99
ORD_00006,CUST_00004,2024-01-30 09:53:08,Delivered,Credit Card,0.0,0.0,836.5
ORD_00007,CUST_00007,2024-02-05 15:52:44,Returned,Credit Card,0.0,20.0,382.0
ORD_00008,CUST_00006,2024-02-06 14:24:56,Returned,Credit Card,4.99,0.0,337.47
ORD_00009,CUST_00009,2024-02-06 15:12:58,Delivered,Credit Card,0.0,10.0,181.0
ORD_00010,CUST_00010,2024-02-14 18:29:53,Delivered,Credit Card,0.0,0.0,1464.0
ORD_00011,CUST_00015,2024-03-04 22:58:01,Delivered,Apple Pay,0.0,0.0,143.98
ORD_00012,CUST_00014,2024-03-05 10:56:50,Delivered,PayPal,4.99,15.0,128.98
ORD_00013,CUST_00021,2024-03-07 16:57:53,Cancelled,PayPal,0.0,0.0,164.98
ORD_00014,CUST_00020,2024-03-12 11:03:31,Delivered,PayPal,4.99,0.0,108.99
ORD_00015,CUST_00018,2024-03-12 15:39:56,Delivered,PayPal,5.99,9.82,61.67
ORD_00016,CUST_00022,2024-03-12 16:46:43,Returned,PayPal,5.99,25.0,54.98
ORD_00017,CUST_00013,2024-03-13 22:51:45,Delivered,Credit Card,0.0,30.9,123.6
ORD_00018,CUST_00020,2024-03-16 19:06:03,Delivered,Credit Card,0.0,120.0,1079.96
ORD_00019,CUST_00028,2024-03-17 10:23:20,Delivered,Credit Card,0.0,20.0,150.0
ORD_00020,CUST_00017,2024-03-19 19:39:00,Cancelled,PayPal,4.99,0.0,186.97
ORD_00021,CUST_00020,2024-03-20 21:10:48,Delivered,Credit Card,0.0,98.84,560.12
ORD_00022,CUST_00024,2024-03-23 14:58:04,Delivered,Credit Card,0.0,58.5,331.48
ORD_00023,CUST_00017,2024-03-24 12:27:10,Delivered,PayPal,0.0,0.0,280.0
ORD_00024,CUST_00027,2024-03-24 16:28:28,Delivered,PayPal,0.0,20.2,80.8
ORD_00025,CUST_00026,2024-03-25 13:54:14,Delivered,Klarna / BNPL,0.0,20.0,560.5
ORD_00026,CUST_00030,2024-03-25 13:55:36,Delivered,Credit Card,0.0,53.85,305.15
ORD_00027,CUST_00020,2024-03-26 21:48:55,Delivered,Credit Card,0.0,0.0,271.49
ORD_00028,CUST_00020,2024-03-27 14:04:22,Delivered,Credit Card,4.99,90.97,520.5
ORD_00029,CUST_00005,2024-03-30 14:32:09,Delivered,Credit Card,0.0,25.0,189.97
ORD_00030,CUST_00020,2024-03-31 09:40:59,Returned,Credit Card,0.0,0.0,849.98
ORD_00031,CUST_00012,2024-04-02 15:31:39,Cancelled,Apple Pay,0.0,45.52,257.98
ORD_00032,CUST_00017,2024-04-04 11:44:42,Delivered,Apple Pay,0.0,0.0,425.0
ORD_00033,CUST_00031,2024-04-06 17:07:07,Returned,PayPal,0.0,49.12,278.38
ORD_00034,CUST_00017,2024-04-11 12:32:16,Delivered,Credit Card,0.0,0.0,282.5
