session_id,customer_id,session_date,page_views,time_spent_seconds,cart_abandoned,support_tickets
SESS_000001,CUST_00001,2024-01-11,6,783,False,0
SESS_000002,CUST_00002,2024-01-20,12,849,False,0
SESS_000003,CUST_00002,2024-01-24,8,253,False,0
SESS_000004,CUST_00001,2024-01-29,18,773,False,0
SESS_000005,CUST_00003,2024-01-30,14,279,False,0
SESS_000006,CUST_00004,2024-01-30,14,469,False,0
SESS_000007,CUST_00007,2024-02-05,19,682,False,0
SESS_000008,CUST_00009,2024-02-05,3,43,False,0
SESS_000009,CUST_00006,2024-02-06,14,525,False,1
SESS_000010,CUST_00009,2024-02-06,6,612,False,0
SESS_000011,CUST_00004,2024-02-12,12,108,True,0
SESS_000012,CUST_00004,2024-02-13,3,144,False,0
SESS_000013,CUST_00010,2024-02-14,20,825,False,0
SESS_000014,CUST_00003,2024-02-26,7,440,True,0
SESS_000015,CUST_00005,2024-02-29,1,92,False,0
SESS_000016,CUST_00014,2024-03-02,2,142,False,0
SESS_000017,CUST_00016,2024-03-03,3,63,False,0
SESS_000018,CUST_00015,2024-03-04,7,771,False,0
SESS_000019,CUST_00014,2024-03-05,6,937,False,0
SESS_000020,CUST_00021,2024-03-07,17,787,False,1
SESS_000021,CUST_00018,2024-03-12,14,300,False,0
SESS_000022,CUST_00020,2024-03-12,11,544,False,0
SESS_000023,CUST_00022,2024-03-12,21,760,False,0
SESS_000024,CUST_00013,2024-03-13,12,434,False,0
SESS_000025,CUST_00008,2024-03-14,6,79,False,0
SESS_000026,CUST_00020,2024-03-16,6,546,False,0
SESS_000027,CUST_00026,2024-03-17,1,186,False,0
SESS_000028,CUST_00028,2024-03-17,13,281,False,0
SESS_000029,CUST_00017,2024-03-19,10,356,False,0
SESS_000030,CUST_00020,2024-03-20,21,520,False,0
SESS_000031,CUST_00024,2024-03-23,16,726,False,0
SESS_000032,CUST_00008,2024-03-24,2,217,False,0
SESS_000033,CUST_00017,2024-03-24,18,829,False,0
SESS_000034,CUST_00027,2024-03-24,20,482,False,0
SESS_000035,CUST_00026,2024-03-25,9,712,False,0
SESS_000036,CUST_00030,2024-03-25,19,335,False,1
SESS_000037,CUST_00020,2024-03-26,19,793,False,0
SESS_000038,CUST_00020,2024-03-27,13,730,False,0
SESS_000039,CUST_00020,2024-03-28,2,235,False,0
SESS_000040,CUST_00031,2024-03-28,3,111,True,0
SESS_000041,CUST_00005,2024-03-30,15,537,False,0
SESS_000042,CUST_00014,2024-03-30,2,67,False,0
SESS_000043,CUST_00020,2024-03-31,5,289,False,1
SESS_000044,CUST_00012,2024-04-02,12,701,False,0
SESS_000045,CUST_00017,2024-04-04,20,620,False,0
SESS_000046,CUST_00031,2024-04-06,15,675,False,0
SESS_000047,CUST_00028,2024-04-09,3,58,False,0
SESS_000048,CUST_00014,2024-04-10,1,101,False,0
SESS_000049,CUST_00017,2024-04-11,6,616,False,0
SESS_000050,CUST_00031,2024-04-11,6,147,True,0
SESS_000051,CUST_00017,2024-04-12,15,204,False,0
SESS_000052,CUST_00019,2024-04-12,22,347,False,0
SESS_000053,CUST_00017,2024-04-16,22,845,False,0
SESS_000054,CUST_00020,2024-04-16,19,225,False,0
SESS_000055,CUST_00010,2024-04-17,4,79,False,0
SESS_000056,CUST_00032,2024-04-17,21,409,False,0
SESS_000057,CUST_00020,2024-04-20,7,614,False,0
SESS_000058,CUST_00020,2024-04-22,22,698,False,0
SESS_000059,CUST_00036,2024-04-24,12,814,False,0
SESS_000060,CUST_00037,2024-04-24,11,197,False,1
SESS_000061,CUST_00033,2024-04-26,18,743,False,0
SESS_000062,CUST_00040,2024-04-26,17,305,False,0
SESS_000063,CUST_00017,2024-04-28,21,298,False,0
SESS_000064,CUST_00038,2024-04-28,13,528,False,0
SESS_000065,CUST_00015,2024-04-29,2,238,False,0
SESS_000066,CUST_00020,2024-04-30,9,415,False,0
SESS_000067,CUST_00019,2024-05-01,11,272,False,0
SESS_000068,CUST_00020,2024-05-01,15,462,False,0
SESS_000069,CUST_00039,2024-05-01,11,888,False,0
SESS_000070,CUST_00036,2024-05-03,13,387,False,0
SESS_000071,CUST_00039,2024-05-03,3,175,True,0
SESS_000072,CUST_00044,2024-05-04,19,530,False,0
SESS_000073,CUST_00045,2024-05-04,9,787,False,0
SESS_000074,CUST_00030,2024-05-05,12,257,True,0
SESS_000075,CUST_00027,2024-05-06,6,255,False,0
SESS_000076,CUST_00043,2024-05-06,3,64,False,0
SESS_000077,CUST_00041,2024-05-07,7,535,False,1
SESS_000078,CUST_00046,2024-05-07,17,418,False,0
SESS_000079,CUST_00019,2024-05-10,6,180,True,0
SESS_000080,CUST_00042,2024-05-10,14,317,False,0
SESS_000081,CUST_00047,2024-05-13,5,771,False,0
SESS_000082,CUST_00019,2024-05-14,1,122,False,0
SESS_000083,CUST_00040,2024-05-15,16,517,False,0
SESS_000084,CUST_00020,2024-05-16,7,635,False,0
SESS_000085,CUST_00051,2024-05-17,16,245,False,0
SESS_000086,CUST_00008,2024-05-18,6,149,True,0
SESS_000087,CUST_00052,2024-05-18,19,212,False,0
SESS_000088,CUST_00021,2024-05-20,1,235,False,0
SESS_000089,CUST_00027,2024-05-20,9,76,True,0
SESS_000090,CUST_00049,2024-05-20,8,437,False,0
SESS_000091,CUST_00034,2024-05-21,1,233,False,0
SESS_000092,CUST_00013,2024-05-22,12,187,True,0
SESS_000093,CUST_00038,2024-05-24,6,433,True,0
SESS_000094,CUST_00053,2024-05-24,17,260,False,0
SESS_000095,CUST_00008,2024-05-25,3,355,True,0
SESS_000096,CUST_00032,2024-05-25,2,111,False,0
SESS_000097,CUST_00031,2024-05-26,1,62,False,0
SESS_000098,CUST_00033,2024-05-27,2,25,False,0
SESS_000099,CUST_00057,2024-05-27,19,313,False,0
SESS_000100,CUST_00003,2024-05-28,4,99,False,0
SESS_000101,CUST_00052,2024-05-28,2,157,False,0
SESS_000102,CUST_00004,2024-05-30,4,221,False,0
SESS_000103,CUST_00036,2024-05-30,22,633,False,0
SESS_000104,CUST_00024,2024-05-31,1,92,False,0
SESS_000105,CUST_00063,2024-05-31,16,640,False,1
SESS_000106,CUST_00056,2024-06-01,13,790,False,0
SESS_000107,CUST_00058,2024-06-01,9,559,False,0
SESS_000108,CUST_00061,2024-06-01,7,927,False,0
SESS_000109,CUST_00066,2024-06-02,12,911,False,0
SESS_000110,CUST_00020,2024-06-04,14,549,False,0
SESS_000111,CUST_00065,2024-06-04,22,438,False,0
SESS_000112,CUST_00037,2024-06-05,3,79,False,0
SESS_000113,CUST_00013,2024-06-07,20,522,False,1
SESS_000114,CUST_00016,2024-06-11,13,177,True,0
SESS_000115,CUST_00040,2024-06-11,14,289,False,0
SESS_000116,CUST_00053,2024-06-11,2,180,False,0
SESS_000117,CUST_00064,2024-06-11,10,264,False,0
SESS_000118,CUST_00070,2024-06-11,11,824,False,0
SESS_000119,CUST_00020,2024-06-12,3,23,False,0
SESS_000120,CUST_00029,2024-06-12,7,399,False,0
SESS_000121,CUST_00071,2024-06-12,18,747,False,0
SESS_000122,CUST_00040,2024-06-14,10,827,False,0
SESS_000123,CUST_00044,2024-06-14,2,186,False,0
SESS_000124,CUST_00067,2024-06-14,22,359,False,0
SESS_000125,CUST_00072,2024-06-14,10,264,False,0
SESS_000126,CUST_00073,2024-06-14,7,612,False,0
SESS_000127,CUST_00053,2024-06-15,10,209,True,0
SESS_000128,CUST_00063,2024-06-16,3,32,False,0
SESS_000129,CUST_00051,2024-06-17,2,151,False,0
SESS_000130,CUST_00040,2024-06-18,22,427,False,0
SESS_000131,CUST_00076,2024-06-18,1,77,False,0
SESS_000132,CUST_00051,2024-06-20,2,129,False,0
SESS_000133,CUST_00022,2024-06-21,10,254,True,0
SESS_000134,CUST_00042,2024-06-22,3,150,False,0
SESS_000135,CUST_00074,2024-06-22,16,406,False,0
SESS_000136,CUST_00016,2024-06-24,1,228,False,0
SESS_000137,CUST_00026,2024-06-24,13,156,True,0
SESS_000138,CUST_00040,2024-06-24,3,51,False,0
SESS_000139,CUST_00040,2024-06-26,1,128,False,0
SESS_000140,CUST_00081,2024-06-26,21,379,False,0
SESS_000141,CUST_00079,2024-06-27,8,308,False,0
SESS_000142,CUST_00004,2024-06-28,3,120,False,0
SESS_000143,CUST_00015,2024-06-28,3,176,False,0
SESS_000144,CUST_00058,2024-06-28,4,82,False,0
SESS_000145,CUST_00076,2024-06-28,10,519,False,0
SESS_000146,CUST_00083,2024-06-28,7,875,False,0
SESS_000147,CUST_00040,2024-06-29,20,874,False,0
SESS_000148,CUST_00065,2024-06-29,2,148,False,0
SESS_000149,CUST_00040,2024-06-30,5,782,False,0
SESS_000150,CUST_00075,2024-06-30,7,584,False,0
SESS_000151,CUST_00035,2024-07-01,3,297,True,0
SESS_000152,CUST_00033,2024-07-02,5,96,True,0
SESS_000153,CUST_00081,2024-07-02,12,471,False,0
SESS_000154,CUST_00086,2024-07-02,18,762,False,0
SESS_000155,CUST_00020,2024-07-04,11,647,False,0
SESS_000156,CUST_00050,2024-07-04,5,275,False,0
SESS_000157,CUST_00080,2024-07-04,5,910,False,0
SESS_000158,CUST_00089,2024-07-04,21,299,False,0
SESS_000159,CUST_00070,2024-07-05,5,333,False,0
SESS_000160,CUST_00011,2024-07-07,12,421,True,0
SESS_000161,CUST_00053,2024-07-07,4,196,True,0
SESS_000162,CUST_00070,2024-07-07,22,786,False,0
SESS_000163,CUST_00087,2024-07-07,13,570,False,0
SESS_000164,CUST_00087,2024-07-07,2,99,False,0
SESS_000165,CUST_00006,2024-07-08,4,181,False,0
SESS_000166,CUST_00011,2024-07-08,2,170,False,0
SESS_000167,CUST_00042,2024-07-11,1,198,False,0
SESS_000168,CUST_00055,2024-07-11,21,190,False,0
SESS_000169,CUST_00069,2024-07-11,1,108,False,0
SESS_000170,CUST_00072,2024-07-11,1,175,False,0
SESS_000171,CUST_00090,2024-07-11,1,75,False,1
SESS_000172,CUST_00020,2024-07-12,3,316,True,0
SESS_000173,CUST_00020,2024-07-12,2,32,False,0
SESS_000174,CUST_00081,2024-07-12,22,275,False,0
SESS_000175,CUST_00083,2024-07-12,10,282,False,0
SESS_000176,CUST_00039,2024-07-13,2,163,False,0
SESS_000177,CUST_00067,2024-07-13,1,93,False,0
SESS_000178,CUST_00090,2024-07-13,3,33,False,0
SESS_000179,CUST_00084,2024-07-14,21,721,False,0
SESS_000180,CUST_00060,2024-07-15,5,738,False,0
SESS_000181,CUST_00090,2024-07-15,12,335,False,0
SESS_000182,CUST_00090,2024-07-15,10,94,True,0
SESS_000183,CUST_00001,2024-07-16,15,903,False,0
SESS_000184,CUST_00065,2024-07-16,2,125,False,0
SESS_000185,CUST_00082,2024-07-16,4,204,False,0
SESS_000186,CUST_00093,2024-07-16,14,697,False,0
SESS_000187,CUST_00096,2024-07-16,19,282,False,0
SESS_000188,CUST_00097,2024-07-16,22,414,False,0
SESS_000189,CUST_00025,2024-07-17,14,403,False,0
SESS_000190,CUST_00094,2024-07-17,13,386,True,0
SESS_000191,CUST_00082,2024-07-18,13,199,False,0
SESS_000192,CUST_00077,2024-07-19,11,254,True,0
SESS_000193,CUST_00048,2024-07-20,7,674,False,0
SESS_000194,CUST_00094,2024-07-20,18,289,False,0
SESS_000195,CUST_00089,2024-07-22,6,55,False,0
SESS_000196,CUST_00096,2024-07-22,10,129,True,0
SESS_000197,CUST_00048,2024-07-23,8,907,False,0
SESS_000198,CUST_00048,2024-07-23,12,544,False,0
SESS_000199,CUST_00095,2024-07-23,5,933,False,0
SESS_000200,CUST_00092,2024-07-24,20,193,False,0
SESS_000201,CUST_00076,2024-07-25,10,826,False,0
SESS_000202,CUST_00015,2024-07-26,1,234,False,1
SESS_000203,CUST_00100,2024-07-26,13,361,False,0
SESS_000204,CUST_00034,2024-07-27,11,374,True,0
SESS_000205,CUST_00036,2024-07-27,3,190,False,0
SESS_000206,CUST_00069,2024-07-27,7,471,False,0
SESS_000207,CUST_00078,2024-07-27,18,650,False,0
SESS_000208,CUST_00101,2024-07-27,18,652,False,0
SESS_000209,CUST_00077,2024-07-28,1,61,False,0
SESS_000210,CUST_00048,2024-07-29,1,37,False,0
SESS_000211,CUST_00092,2024-07-29,9,534,False,0
SESS_000212,CUST_00098,2024-07-29,9,364,False,0
SESS_000213,CUST_00099,2024-07-29,7,688,False,0
SESS_000214,CUST_00050,2024-07-30,20,816,False,0
SESS_000215,CUST_00059,2024-07-30,11,294,False,0
SESS_000216,CUST_00076,2024-07-30,2,96,False,0
SESS_000217,CUST_00092,2024-07-30,20,231,False,0
SESS_000218,CUST_00100,2024-07-30,1,228,False,0
SESS_000219,CUST_00023,2024-08-01,7,402,False,0
SESS_000220,CUST_00044,2024-08-01,11,429,True,0
SESS_000221,CUST_00048,2024-08-01,21,898,False,0
SESS_000222,CUST_00078,2024-08-01,10,422,False,0
SESS_000223,CUST_00048,2024-08-02,13,270,False,1
SESS_000224,CUST_00104,2024-08-02,17,223,False,1
SESS_000225,CUST_00024,2024-08-03,7,461,True,0
SESS_000226,CUST_00040,2024-08-03,19,221,False,0
SESS_000227,CUST_00048,2024-08-03,2,26,False,0
SESS_000228,CUST_00001,2024-08-04,3,50,False,0
SESS_000229,CUST_00010,2024-08-04,1,33,False,0
SESS_000230,CUST_00054,2024-08-04,1,85,False,0
SESS_000231,CUST_00078,2024-08-04,14,710,False,0
SESS_000232,CUST_00087,2024-08-04,2,81,False,0
SESS_000233,CUST_00028,2024-08-06,2,122,False,0
SESS_000234,CUST_00043,2024-08-08,3,150,False,0
SESS_000235,CUST_00062,2024-08-08,14,213,False,0
SESS_000236,CUST_00081,2024-08-08,19,428,False,0
SESS_000237,CUST_00082,2024-08-08,18,862,False,0
SESS_000238,CUST_00104,2024-08-09,1,200,False,0
SESS_000239,CUST_00048,2024-08-10,21,364,False,0
SESS_000240,CUST_00003,2024-08-11,1,66,False,0
SESS_000241,CUST_00021,2024-08-11,1,154,False,0
SESS_000242,CUST_00089,2024-08-11,4,464,True,0
SESS_000243,CUST_00107,2024-08-11,3,88,False,0
SESS_000244,CUST_00027,2024-08-12,1,94,False,0
SESS_000245,CUST_00040,2024-08-14,16,625,False,0
SESS_000246,CUST_00074,2024-08-14,10,148,True,0
SESS_000247,CUST_00017,2024-08-15,2,115,False,0
SESS_000248,CUST_00035,2024-08-15,10,218,False,0
SESS_000249,CUST_00013,2024-08-16,1,16,False,0
SESS_000250,CUST_00073,2024-08-16,21,588,False,0
SESS_000251,CUST_00088,2024-08-17,3,153,False,0
SESS_000252,CUST_00108,2024-08-17,6,830,False,0
SESS_000253,CUST_00111,2024-08-18,12,901,False,1
SESS_000254,CUST_00078,2024-08-19,20,837,False,0
SESS_000255,CUST_00068,2024-08-20,9,944,False,0
SESS_000256,CUST_00015,2024-08-21,1,141,False,0
SESS_000257,CUST_00114,2024-08-22,15,787,False,0
SESS_000258,CUST_00076,2024-08-23,16,787,False,0
SESS_000259,CUST_00112,2024-08-24,19,598,False,0
SESS_000260,CUST_00040,2024-08-25,22,848,False,0
SESS_000261,CUST_00040,2024-08-25,19,480,False,0
SESS_000262,CUST_00041,2024-08-25,7,438,True,0
SESS_000263,CUST_00110,2024-08-25,9,387,False,0
SESS_000264,CUST_00106,2024-08-26,12,552,False,0
SESS_000265,CUST_00017,2024-08-27,3,83,False,0
SESS_000266,CUST_00115,2024-08-27,15,361,False,0
SESS_000267,CUST_00076,2024-08-28,3,57,False,0
SESS_000268,CUST_00113,2024-08-28,14,465,False,0
SESS_000269,CUST_00054,2024-08-29,3,128,False,0
SESS_000270,CUST_00111,2024-08-29,1,85,False,0
SESS_000271,CUST_00068,2024-08-30,12,475,False,0
SESS_000272,CUST_00016,2024-08-31,8,367,True,0
SESS_000273,CUST_00050,2024-08-31,9,411,False,0
SESS_000274,CUST_00008,2024-09-01,1,218,False,0
SESS_000275,CUST_00037,2024-09-01,1,166,False,0
SESS_000276,CUST_00040,2024-09-02,17,894,False,0
SESS_000277,CUST_00068,2024-09-03,5,343,True,0
SESS_000278,CUST_00021,2024-09-04,1,146,False,0
SESS_000279,CUST_00083,2024-09-04,1,80,False,0
SESS_000280,CUST_00106,2024-09-04,1,135,False,0
SESS_000281,CUST_00021,2024-09-05,1,217,False,0
SESS_000282,CUST_00077,2024-09-05,8,92,True,0
SESS_000283,CUST_00090,2024-09-05,1,37,False,0
SESS_000284,CUST_00092,2024-09-06,18,436,False,0
SESS_000285,CUST_00106,2024-09-06,22,841,False,0
SESS_000286,CUST_00006,2024-09-08,2,124,False,0
SESS_000287,CUST_00080,2024-09-10,3,53,False,0
SESS_000288,CUST_00116,2024-09-10,8,807,False,0
SESS_000289,CUST_00057,2024-09-11,11,233,True,0
SESS_000290,CUST_00016,2024-09-12,2,86,False,0
SESS_000291,CUST_00074,2024-09-12,11,453,True,0
SESS_000292,CUST_00064,2024-09-13,1,26,False,0
SESS_000293,CUST_00040,2024-09-15,18,673,False,0
SESS_000294,CUST_00110,2024-09-15,8,753,False,0
SESS_000295,CUST_00034,2024-09-18,15,721,False,0
SESS_000296,CUST_00122,2024-09-18,7,227,True,0
SESS_000297,CUST_00072,2024-09-19,3,56,False,0
SESS_000298,CUST_00085,2024-09-19,11,143,True,0
SESS_000299,CUST_00124,2024-09-19,21,283,False,0
SESS_000300,CUST_00004,2024-09-20,2,18,False,0
SESS_000301,CUST_00015,2024-09-20,6,85,False,0
SESS_000302,CUST_00120,2024-09-20,15,245,False,0
SESS_000303,CUST_00122,2024-09-20,16,254,False,0
SESS_000304,CUST_00012,2024-09-21,18,287,False,0
SESS_000305,CUST_00083,2024-09-21,8,804,False,0
